store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-La Mesa,CA",-233.98607,65.52241
"McDonalds PlayPlace-La Palma,CA",-118.04512,33.85853
"McDonalds PlayPlace-La Puente,CA",-117.94323,34.05093
"McDonalds PlayPlace-La Quinta,CA",-116.289559,33.71039
"McDonalds PlayPlace-La Verne,CA",-117.7624,34.11265
"McDonalds PlayPlace-Ladera Ranch,CA",-117.62929,33.56284
"McDonalds PlayPlace-Lafayette,CA",-122.11392,37.89254
"McDonalds PlayPlace-Laguna Hills,CA",-117.6757,33.59527
"McDonalds PlayPlace-Laguna Niguel,CA",-235.39381,67.08993
"McDonalds PlayPlace-Lake Elsinore,CA",-117.29967,33.65959
"McDonalds PlayPlace-Lake Forest,CA",-117.71592,33.627937
"McDonalds PlayPlace-Lakeport,CA",-122.92516,39.03251
"McDonalds PlayPlace-Lakeside,CA",-116.9312,32.85259
"McDonalds PlayPlace-Lakewood,CA",-118.10059,33.83244
"McDonalds PlayPlace-Lamont,CA",-118.914624,35.261762
"McDonalds PlayPlace-Lancaster,CA",-236.184751,69.386445
"McDonalds PlayPlace-Lathrop,CA",-121.29041,37.81164
"McDonalds PlayPlace-Lawndale,CA",-118.3522,33.88939
"McDonalds PlayPlace-Lincoln,CA",-121.299697,38.901487
"McDonalds PlayPlace-Livermore,CA",-121.7775,37.68271
"McDonalds PlayPlace-Livingston,CA",-120.73772,37.38837
"McDonalds PlayPlace-Lodi,CA",-121.2569,38.11644
"McDonalds PlayPlace-Lompoc,CA",-120.45788,34.6508
"McDonalds PlayPlace-Long Beach,CA",-590.89398,169.05619
"McDonalds PlayPlace-Los Alamitos,CA",-118.070858,33.802903
"McDonalds PlayPlace-Los Angeles,CA",-3903.209171,1122.980879
"McDonalds PlayPlace-Los Banos,CA",-120.86652,37.05669
"McDonalds PlayPlace-Los Gatos,CA",-121.959429,37.243666
"McDonalds PlayPlace-Lynwood,CA",-118.21125,33.93019
"McDonalds PlayPlace-Madera,CA",-120.084419,36.97455
"McDonalds PlayPlace-Mammouth Lakes,CA",-118.979786,37.648682
"McDonalds PlayPlace-Manteca,CA",-121.19575,37.79764
"McDonalds PlayPlace-Marina,CA",-121.79469,36.68544
"McDonalds PlayPlace-Martell,CA",-120.797891,38.370907
"McDonalds PlayPlace-Martinez,CA",-122.10155,37.99398
"McDonalds PlayPlace-Marysville,CA",-121.59045,39.13824
"McDonalds PlayPlace-McKinleyville,CA",-124.102405,40.932791
"McDonalds PlayPlace-Merced,CA",-120.47327,37.31874
"McDonalds PlayPlace-Milpitas,CA",-243.81219,74.89178
"McDonalds PlayPlace-Mission Hills,CA",-118.46729,34.26988
"McDonalds PlayPlace-Mission Viejo,CA",-235.30737,67.27343
"McDonalds PlayPlace-Modesto,CA",-604.94441,188.2577
"McDonalds PlayPlace-Montclair,CA",-235.405326,68.144966
"McDonalds PlayPlace-Montebello,CA",-118.121102,34.020633
"McDonalds PlayPlace-Moorpark,CA",-118.874123,34.279079
"McDonalds PlayPlace-Moreno Valley,CA",-234.46217,67.85891
"McDonalds PlayPlace-Morgan Hill,CA",-121.63131,37.13402
"McDonalds PlayPlace-Mountain View,CA",-122.09599,37.39135
"McDonalds PlayPlace-Murrieta,CA",-234.32436,67.121594
"McDonalds PlayPlace-National City,CA",-234.179093,65.348593
"McDonalds PlayPlace-Newark,CA",-244.05213,75.07568
"McDonalds PlayPlace-Newhall,CA",-118.56701,34.37816
"McDonalds PlayPlace-Norco,CA",-235.116468,67.83636
"McDonalds PlayPlace-North Hills,CA",-236.96795,68.45563
"McDonalds PlayPlace-North Hollywood,CA",-473.55906,136.80744
"McDonalds PlayPlace-Northridge,CA",-237.09018,68.48646
"McDonalds PlayPlace-Norwalk,CA",-354.2348,101.70867
"McDonalds PlayPlace-Novato,CA",-122.57014,38.10698
"McDonalds PlayPlace-Oakland,CA",-244.5201,75.63039
